ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MANTENIMIENTO_ID,NIVEL_ESCALAMIENTO,TIEMPO_RESOLUCION
49,rotura,2024-10-08T00:00:00.000000Z,cerrada,"['689-32-4439', '873-27-3314', '913-85-6147']",['mnt-02179'],medio,58
50,rotura,2024-01-27T00:00:00.000000Z,abierta,['863-33-3766'],['mnt-07750'],medio,50-ESTADO-abierta
51,vandalismo,2024-06-14T00:00:00.000000Z,abierta,['869-34-7706'],['mnt-01438'],bajo,51-ESTADO-abierta
52,mal funcionamiento,2024-09-14T00:00:00.000000Z,cerrada,"['142-30-5668', '955-90-1850']",['mnt-08133'],alto,142
53,rotura,2024-02-07T00:00:00.000000Z,abierta,['738-70-3572'],['mnt-08945'],medio,53-ESTADO-abierta
54,desgaste,2024-09-15T00:00:00.000000Z,cerrada,"['014-33-4371', '508-48-3418', '387-76-2628']",['mnt-14807'],muy alto,271
55,vandalismo,2024-10-06T00:00:00.000000Z,abierta,"['541-92-0256', '856-89-1964', '016-30-7094']",['mnt-11370'],bajo,55-ESTADO-abierta
56,mal funcionamiento,2023-12-13T00:00:00.000000Z,cerrada,"['117-80-0652', '060-21-9395', '089-59-2419']","['mnt-12152', 'mnt-12720']",alto,195
57,vandalismo,2024-08-29T00:00:00.000000Z,abierta,['172-97-8724'],['mnt-13468'],bajo,57-ESTADO-abierta
58,vandalismo,2024-09-03T00:00:00.000000Z,cerrada,"['871-28-1730', '541-59-4325', '471-54-1054']",['mnt-00587'],bajo,211
59,vandalismo,2024-08-26T00:00:00.000000Z,cerrada,"['690-16-4774', '418-44-8103']",['mnt-01539'],bajo,38
60,rotura,2024-08-03T00:00:00.000000Z,cerrada,"['250-40-0290', '782-70-6692', '401-29-1803']","['mnt-01989', 'mnt-08098']",medio,66
61,desgaste,2024-03-22T00:00:00.000000Z,abierta,"['100-01-0264', '410-33-9822']",['mnt-09734'],muy alto,61-ESTADO-abierta
62,mal funcionamiento,2024-08-23T00:00:00.000000Z,cerrada,['322-98-2998'],['mnt-02632'],alto,108
63,desgaste,2024-03-07T00:00:00.000000Z,abierta,"['479-94-4802', '032-03-7429']",['mnt-03607'],muy alto,63-ESTADO-abierta
64,rotura,2024-03-08T00:00:00.000000Z,abierta,['901-73-6249'],['mnt-07756'],medio,64-ESTADO-abierta
65,desgaste,2024-01-26T00:00:00.000000Z,cerrada,['241-48-9310'],['mnt-09794'],muy alto,36
66,mal funcionamiento,2024-10-11T00:00:00.000000Z,cerrada,"['808-83-2834', '555-94-9326', '711-02-3044']",['mnt-08081'],alto,174
67,rotura,2024-01-16T00:00:00.000000Z,cerrada,"['090-73-5016', '018-48-4998', '236-66-5410']","['mnt-07601', 'mnt-11223']",medio,218
68,rotura,2024-09-29T00:00:00.000000Z,cerrada,"['889-06-0212', '223-67-7660']","['mnt-02315', 'mnt-12518']",medio,36
69,desgaste,2024-09-28T00:00:00.000000Z,cerrada,"['597-83-3782', '438-90-8611', '310-67-5019']",['mnt-03205'],muy alto,191
70,vandalismo,2024-02-03T00:00:00.000000Z,cerrada,"['288-08-3515', '901-67-6635']",['mnt-11544'],bajo,67
71,vandalismo,2024-03-16T00:00:00.000000Z,cerrada,"['778-65-5960', '282-19-2052']",['mnt-04456'],bajo,10
72,vandalismo,2024-10-05T00:00:00.000000Z,cerrada,['460-57-1099'],['mnt-12063'],bajo,130
73,desgaste,2024-06-07T00:00:00.000000Z,abierta,"['305-88-3625', '753-54-9380', '738-87-3253']",['mnt-03462'],muy alto,73-ESTADO-abierta
74,desgaste,2024-02-14T00:00:00.000000Z,cerrada,"['154-86-3026', '138-40-0694', '032-33-8307']",['mnt-01352'],muy alto,66
75,desgaste,2023-11-16T00:00:00.000000Z,cerrada,"['733-85-7189', '603-85-7965']",['mnt-10547'],muy alto,16
76,mal funcionamiento,2024-07-05T00:00:00.000000Z,cerrada,"['260-90-2212', '841-37-3199', '628-45-2561']",['mnt-06303'],alto,17
77,desgaste,2024-03-20T00:00:00.000000Z,cerrada,"['311-23-9012', '542-71-1216']",['mnt-13487'],muy alto,97
78,rotura,2024-09-30T00:00:00.000000Z,abierta,['085-97-4774'],['mnt-02057'],medio,78-ESTADO-abierta
79,mal funcionamiento,2024-05-07T00:00:00.000000Z,cerrada,"['127-70-7755', '837-71-6783']",['mnt-14167'],alto,70
80,mal funcionamiento,2023-11-25T00:00:00.000000Z,abierta,['894-46-2114'],"['mnt-04031', 'mnt-12053']",alto,80-ESTADO-abierta
81,rotura,2024-10-06T00:00:00.000000Z,cerrada,"['391-88-3157', '380-75-1092']","['mnt-02899', 'mnt-08710']",medio,267
82,desgaste,2024-04-11T00:00:00.000000Z,cerrada,"['838-96-5164', '818-45-3964']",['mnt-01741'],muy alto,3
83,vandalismo,2024-04-27T00:00:00.000000Z,cerrada,"['575-21-6618', '260-56-5535']","['mnt-02507', 'mnt-05962']",bajo,123
84,desgaste,2024-01-03T00:00:00.000000Z,abierta,"['824-77-2616', '158-28-9848', '514-82-8382']",['mnt-11189'],muy alto,84-ESTADO-abierta
85,vandalismo,2023-12-16T00:00:00.000000Z,cerrada,['099-35-1380'],['mnt-06988'],bajo,51
86,vandalismo,2024-09-17T00:00:00.000000Z,abierta,"['217-98-1971', '937-20-7275']",['mnt-11802'],bajo,86-ESTADO-abierta
87,rotura,2024-03-23T00:00:00.000000Z,cerrada,"['788-21-2876', '946-79-0736']","['mnt-03508', 'mnt-08892', 'mnt-12574']",medio,185
88,mal funcionamiento,2024-04-02T00:00:00.000000Z,abierta,"['675-54-6552', '409-86-2303']",['mnt-01330'],alto,88-ESTADO-abierta
89,mal funcionamiento,2024-05-18T00:00:00.000000Z,cerrada,"['817-34-2428', '554-49-0304', '218-00-4040']",['mnt-04249'],alto,3
90,desgaste,2024-01-14T00:00:00.000000Z,abierta,"['174-43-1815', '019-00-6767']",['mnt-10012'],muy alto,90-ESTADO-abierta
91,mal funcionamiento,2024-02-13T00:00:00.000000Z,cerrada,"['148-66-5370', '430-05-1686']",['mnt-12883'],alto,41
92,desgaste,2024-01-09T00:00:00.000000Z,cerrada,"['865-70-1340', '760-66-5305', '798-74-5409']",['mnt-01855'],muy alto,117
93,desgaste,2023-11-27T00:00:00.000000Z,cerrada,"['017-43-7295', '357-05-1407']",['mnt-01845'],muy alto,137
94,vandalismo,2024-05-09T00:00:00.000000Z,cerrada,['436-60-7701'],['mnt-01454'],bajo,168
95,mal funcionamiento,2023-11-20T00:00:00.000000Z,abierta,['982-27-6070'],"['mnt-02112', 'mnt-11757']",alto,95-ESTADO-abierta
96,mal funcionamiento,2023-10-15T00:00:00.000000Z,cerrada,"['903-89-7000', '729-25-9421', '167-74-2219']","['mnt-01003', 'mnt-09563']",alto,125
97,desgaste,2024-05-29T00:00:00.000000Z,abierta,"['741-25-9934', '927-72-9530']",['mnt-09212'],muy alto,97-ESTADO-abierta
98,desgaste,2024-01-07T00:00:00.000000Z,cerrada,"['433-38-2732', '243-26-3469']",['mnt-02609'],muy alto,35
99,desgaste,2023-11-14T00:00:00.000000Z,abierta,"['775-68-8525', '081-60-4000', '398-68-3882']","['mnt-01240', 'mnt-04435', 'mnt-12761']",muy alto,99-ESTADO-abierta
100,vandalismo,2024-05-19T00:00:00.000000Z,cerrada,['770-24-2945'],['mnt-06864'],bajo,66
101,mal funcionamiento,2024-10-03T00:00:00.000000Z,cerrada,"['336-56-1396', '806-70-9754', '180-58-7713']",['mnt-01560'],alto,170
102,desgaste,2024-08-22T00:00:00.000000Z,abierta,"['110-54-2966', '743-88-8084']",['mnt-09012'],muy alto,102-ESTADO-abierta
103,desgaste,2024-07-11T00:00:00.000000Z,cerrada,"['220-90-9225', '628-73-9187']","['mnt-01269', 'mnt-10379']",muy alto,52
104,mal funcionamiento,2023-11-02T00:00:00.000000Z,cerrada,['546-06-9283'],['mnt-05666'],alto,270
105,rotura,2023-12-06T00:00:00.000000Z,cerrada,"['753-87-8349', '831-23-8385']","['mnt-07976', 'mnt-14313']",medio,110
106,vandalismo,2023-12-23T00:00:00.000000Z,cerrada,['358-75-9776'],"['mnt-04356', 'mnt-11765']",bajo,145
107,rotura,2023-10-21T00:00:00.000000Z,cerrada,['813-16-4973'],['mnt-11043'],medio,183
108,desgaste,2024-05-19T00:00:00.000000Z,abierta,['888-02-5417'],['mnt-12162'],muy alto,108-ESTADO-abierta
109,rotura,2023-12-27T00:00:00.000000Z,cerrada,"['402-42-7281', '406-56-3619', '660-91-9231']",['mnt-05315'],medio,46
110,mal funcionamiento,2023-11-09T00:00:00.000000Z,abierta,"['915-79-7888', '804-50-1687']","['mnt-07092', 'mnt-11539']",alto,110-ESTADO-abierta
111,vandalismo,2024-08-24T00:00:00.000000Z,cerrada,['670-05-9074'],"['mnt-11234', 'mnt-12677']",bajo,65
112,mal funcionamiento,2023-10-23T00:00:00.000000Z,cerrada,"['847-44-2878', '440-29-6963', '107-46-8349']","['mnt-01219', 'mnt-09711', 'mnt-14285']",alto,335
113,vandalismo,2024-11-06T00:00:00.000000Z,cerrada,"['422-00-3504', '151-14-3672']","['mnt-05530', 'mnt-11294']",bajo,79
114,mal funcionamiento,2024-04-20T00:00:00.000000Z,cerrada,['944-32-3034'],['mnt-04534'],alto,108
115,mal funcionamiento,2024-06-06T00:00:00.000000Z,abierta,['692-64-7625'],"['mnt-11825', 'mnt-13298']",alto,115-ESTADO-abierta
116,rotura,2024-01-04T00:00:00.000000Z,cerrada,"['199-55-3678', '999-56-4531', '559-08-6664']",['mnt-13341'],medio,270
117,vandalismo,2024-01-10T00:00:00.000000Z,cerrada,"['239-90-7990', '925-93-2493', '038-88-0793']",['mnt-01005'],bajo,76
118,rotura,2024-05-09T00:00:00.000000Z,abierta,"['488-36-2592', '755-98-6242']","['mnt-01394', 'mnt-08723']",medio,118-ESTADO-abierta
119,vandalismo,2024-06-26T00:00:00.000000Z,abierta,"['314-20-5792', '008-09-7815']",['mnt-14814'],bajo,119-ESTADO-abierta
120,desgaste,2024-03-07T00:00:00.000000Z,cerrada,"['721-47-7070', '761-76-9648']",['mnt-13667'],muy alto,60
121,vandalismo,2024-08-22T00:00:00.000000Z,cerrada,"['531-32-3397', '378-21-9839', '066-94-8131']","['mnt-02159', 'mnt-04757']",bajo,35
122,mal funcionamiento,2024-07-01T00:00:00.000000Z,cerrada,"['021-72-0249', '106-83-9545', '932-16-5096']",['mnt-05358'],alto,113
123,mal funcionamiento,2023-11-03T00:00:00.000000Z,cerrada,['380-33-3475'],"['mnt-03608', 'mnt-06350']",alto,195
124,mal funcionamiento,2024-02-29T00:00:00.000000Z,abierta,['229-67-5850'],['mnt-12976'],alto,124-ESTADO-abierta
125,rotura,2024-10-08T00:00:00.000000Z,abierta,"['509-39-6212', '706-89-6262']",['mnt-02417'],medio,125-ESTADO-abierta
126,vandalismo,2024-06-26T00:00:00.000000Z,abierta,['999-31-9294'],['mnt-10980'],bajo,126-ESTADO-abierta
127,rotura,2024-01-03T00:00:00.000000Z,abierta,['762-87-6031'],"['mnt-00893', 'mnt-12391', 'mnt-13550']",medio,127-ESTADO-abierta
128,rotura,2024-02-21T00:00:00.000000Z,abierta,['291-81-9863'],['mnt-00089'],medio,128-ESTADO-abierta
129,rotura,2024-07-06T00:00:00.000000Z,abierta,"['060-83-4978', '088-72-6336', '805-52-9768']","['mnt-00319', 'mnt-05790']",medio,129-ESTADO-abierta
130,mal funcionamiento,2023-12-03T00:00:00.000000Z,abierta,"['103-58-3873', '788-66-1589', '559-53-7633']","['mnt-00234', 'mnt-04043']",alto,130-ESTADO-abierta
131,vandalismo,2024-06-30T00:00:00.000000Z,cerrada,"['426-59-0592', '132-74-6029', '008-44-5781']","['mnt-10776', 'mnt-12743']",bajo,63
132,rotura,2024-03-09T00:00:00.000000Z,cerrada,['342-05-0813'],['mnt-06748'],medio,112
133,vandalismo,2024-04-14T00:00:00.000000Z,abierta,['744-40-7622'],['mnt-09083'],bajo,133-ESTADO-abierta
134,vandalismo,2024-04-12T00:00:00.000000Z,abierta,['768-48-1875'],['mnt-08942'],bajo,134-ESTADO-abierta
135,vandalismo,2024-06-24T00:00:00.000000Z,cerrada,['907-91-3349'],['mnt-12962'],bajo,127
136,mal funcionamiento,2024-04-17T00:00:00.000000Z,abierta,"['857-73-1221', '854-06-8449', '114-82-0887']",['mnt-13527'],alto,136-ESTADO-abierta
137,desgaste,2024-08-24T00:00:00.000000Z,cerrada,"['498-20-3589', '750-10-2047', '226-27-5299']","['mnt-09104', 'mnt-12773']",muy alto,32
138,desgaste,2024-01-19T00:00:00.000000Z,cerrada,"['516-01-8072', '207-84-0141', '178-68-4628']","['mnt-04286', 'mnt-10327']",muy alto,180
139,mal funcionamiento,2024-08-14T00:00:00.000000Z,cerrada,"['713-15-5817', '445-92-8881', '982-34-7661']",['mnt-11886'],alto,153
140,rotura,2023-11-12T00:00:00.000000Z,abierta,"['590-05-0409', '141-94-3256', '897-31-3331']",['mnt-03672'],medio,140-ESTADO-abierta
141,rotura,2023-12-01T00:00:00.000000Z,cerrada,"['433-06-8898', '999-56-0502', '235-22-0229']",['mnt-07470'],medio,85
142,rotura,2024-08-27T00:00:00.000000Z,abierta,"['800-63-9797', '786-16-3738', '179-73-2227']",['mnt-03999'],medio,142-ESTADO-abierta
143,vandalismo,2024-04-14T00:00:00.000000Z,abierta,"['993-26-8588', '021-72-0249']",['mnt-10556'],bajo,143-ESTADO-abierta
144,vandalismo,2024-02-14T00:00:00.000000Z,cerrada,"['197-54-6424', '807-82-9494']",['mnt-14212'],bajo,139
145,mal funcionamiento,2023-12-14T00:00:00.000000Z,cerrada,['374-61-4080'],['mnt-12665'],alto,129
146,vandalismo,2024-02-04T00:00:00.000000Z,abierta,"['852-76-3607', '561-26-7740', '374-49-6742']",['mnt-03462'],bajo,146-ESTADO-abierta
147,rotura,2024-05-24T00:00:00.000000Z,cerrada,"['743-88-8084', '925-12-3302', '742-25-8929']","['mnt-02218', 'mnt-13692']",medio,66
148,rotura,2024-03-07T00:00:00.000000Z,abierta,"['210-74-6960', '304-23-9582', '354-41-2235']","['mnt-05072', 'mnt-08621']",medio,148-ESTADO-abierta
149,desgaste,2024-07-21T00:00:00.000000Z,cerrada,"['309-48-5557', '191-66-6006']","['mnt-03627', 'mnt-10050']",muy alto,8
150,desgaste,2024-02-07T00:00:00.000000Z,cerrada,"['442-73-6240', '428-15-6327', '703-36-0172']","['mnt-01348', 'mnt-04293', 'mnt-11069']",muy alto,219
151,mal funcionamiento,2024-02-27T00:00:00.000000Z,cerrada,['933-52-0348'],['mnt-13944'],alto,8
152,vandalismo,2024-04-24T00:00:00.000000Z,cerrada,['799-14-3002'],"['mnt-02198', 'mnt-11261']",bajo,109
153,rotura,2024-01-03T00:00:00.000000Z,abierta,['395-25-3102'],['mnt-13983'],medio,153-ESTADO-abierta
154,rotura,2024-06-05T00:00:00.000000Z,cerrada,['865-72-4713'],['mnt-11768'],medio,153
155,vandalismo,2023-12-27T00:00:00.000000Z,abierta,"['610-07-8246', '739-38-2948']",['mnt-00714'],bajo,155-ESTADO-abierta
156,vandalismo,2023-12-07T00:00:00.000000Z,cerrada,"['406-08-6881', '522-29-8564', '419-82-9150']","['mnt-06323', 'mnt-14304']",bajo,194
157,rotura,2023-11-27T00:00:00.000000Z,abierta,"['265-48-2957', '872-67-3391']","['mnt-00060', 'mnt-01615']",medio,157-ESTADO-abierta
158,rotura,2024-02-19T00:00:00.000000Z,cerrada,['032-32-5015'],"['mnt-02348', 'mnt-14207']",medio,213
159,rotura,2023-12-12T00:00:00.000000Z,abierta,"['205-00-9933', '138-25-4182']",['mnt-00017'],medio,159-ESTADO-abierta
160,desgaste,2024-02-15T00:00:00.000000Z,abierta,"['777-79-8430', '383-80-7670']",['mnt-14613'],muy alto,160-ESTADO-abierta
161,vandalismo,2024-01-17T00:00:00.000000Z,abierta,"['198-65-0810', '580-02-1574', '470-22-3012']",['mnt-11633'],bajo,161-ESTADO-abierta
162,desgaste,2024-07-03T00:00:00.000000Z,cerrada,"['067-58-2956', '171-54-0923', '945-91-5104']","['mnt-01912', 'mnt-12659', 'mnt-13067']",muy alto,20
163,rotura,2024-07-30T00:00:00.000000Z,abierta,"['872-99-7259', '665-47-8041']","['mnt-08033', 'mnt-14540']",medio,163-ESTADO-abierta
164,rotura,2023-11-19T00:00:00.000000Z,abierta,"['068-68-2427', '696-63-7680']","['mnt-03659', 'mnt-09379']",medio,164-ESTADO-abierta
165,rotura,2024-05-18T00:00:00.000000Z,cerrada,"['549-28-7148', '715-12-8995', '548-46-9753']",['mnt-03203'],medio,189
166,mal funcionamiento,2024-10-04T00:00:00.000000Z,abierta,"['760-99-8105', '714-47-8610', '135-40-0780']","['mnt-01821', 'mnt-08955', 'mnt-10302']",alto,166-ESTADO-abierta
167,rotura,2023-11-30T00:00:00.000000Z,cerrada,['303-99-0679'],['mnt-09101'],medio,146
168,vandalismo,2024-02-12T00:00:00.000000Z,abierta,['094-28-9871'],['mnt-05716'],bajo,168-ESTADO-abierta
169,desgaste,2024-07-11T00:00:00.000000Z,cerrada,"['391-82-5472', '913-45-8490', '003-70-2209']","['mnt-07839', 'mnt-10091']",muy alto,55
170,desgaste,2023-11-19T00:00:00.000000Z,abierta,"['213-99-9087', '179-49-4838']",['mnt-12457'],muy alto,170-ESTADO-abierta
171,rotura,2023-11-06T00:00:00.000000Z,abierta,"['562-33-7001', '311-30-4865']",['mnt-12488'],medio,171-ESTADO-abierta
172,vandalismo,2024-09-20T00:00:00.000000Z,cerrada,"['186-54-3558', '128-84-7974']",['mnt-06870'],bajo,42
173,desgaste,2024-07-09T00:00:00.000000Z,abierta,"['002-53-4615', '244-04-0014']",['mnt-13396'],muy alto,173-ESTADO-abierta
174,vandalismo,2023-12-23T00:00:00.000000Z,abierta,"['213-35-6192', '362-20-2362', '698-52-5306']","['mnt-05567', 'mnt-06893']",bajo,174-ESTADO-abierta
175,rotura,2024-09-15T00:00:00.000000Z,cerrada,['463-07-6119'],['mnt-13508'],medio,228
176,desgaste,2024-03-07T00:00:00.000000Z,abierta,"['465-66-7179', '499-25-5214', '802-02-2509']","['mnt-05197', 'mnt-13163']",muy alto,176-ESTADO-abierta
177,mal funcionamiento,2024-08-01T00:00:00.000000Z,cerrada,"['516-93-9492', '465-05-9417']",['mnt-09393'],alto,84
178,mal funcionamiento,2024-09-13T00:00:00.000000Z,abierta,['280-16-8155'],['mnt-11491'],alto,178-ESTADO-abierta
179,rotura,2024-03-07T00:00:00.000000Z,cerrada,"['397-44-1337', '364-82-2347', '171-50-3237']",['mnt-13741'],medio,143
180,rotura,2024-07-23T00:00:00.000000Z,cerrada,"['002-07-7437', '408-76-7776']",['mnt-12723'],medio,41
181,rotura,2024-08-04T00:00:00.000000Z,abierta,"['832-34-4746', '759-45-6594', '236-84-5106']",['mnt-06398'],medio,181-ESTADO-abierta
182,vandalismo,2024-09-25T00:00:00.000000Z,cerrada,"['917-42-2331', '465-09-8156']",['mnt-02666'],bajo,124
183,desgaste,2024-02-19T00:00:00.000000Z,cerrada,['054-11-4063'],['mnt-07836'],muy alto,139
184,mal funcionamiento,2024-05-11T00:00:00.000000Z,cerrada,"['862-77-3192', '537-17-5166']",['mnt-06102'],alto,80
185,mal funcionamiento,2023-11-15T00:00:00.000000Z,cerrada,"['854-62-4392', '426-18-3896']",['mnt-07585'],alto,152
186,rotura,2023-12-30T00:00:00.000000Z,abierta,"['757-76-2598', '039-22-1924']",['mnt-11854'],medio,186-ESTADO-abierta
187,vandalismo,2024-08-25T00:00:00.000000Z,cerrada,['057-70-0978'],['mnt-07064'],bajo,169
188,desgaste,2024-05-13T00:00:00.000000Z,cerrada,['416-92-4256'],"['mnt-05054', 'mnt-08978']",muy alto,26
189,vandalismo,2023-12-24T00:00:00.000000Z,abierta,"['612-98-3499', '360-52-5410']",['mnt-10821'],bajo,189-ESTADO-abierta
190,mal funcionamiento,2023-12-29T00:00:00.000000Z,cerrada,"['990-34-7933', '786-49-5347', '901-30-7322']","['mnt-07252', 'mnt-14114']",alto,236
191,rotura,2024-10-09T00:00:00.000000Z,cerrada,['758-71-7752'],"['mnt-02506', 'mnt-08275']",medio,245
192,vandalismo,2024-01-10T00:00:00.000000Z,abierta,"['342-07-6171', '804-26-7623', '580-40-7687']","['mnt-05460', 'mnt-07271']",bajo,192-ESTADO-abierta
193,desgaste,2024-05-27T00:00:00.000000Z,abierta,['664-40-9102'],['mnt-12763'],muy alto,193-ESTADO-abierta
194,desgaste,2024-06-29T00:00:00.000000Z,abierta,"['061-19-0691', '972-81-3786', '664-33-3200']",['mnt-04178'],muy alto,194-ESTADO-abierta
195,mal funcionamiento,2023-10-22T00:00:00.000000Z,abierta,"['495-29-8363', '174-15-0363', '966-69-8630']","['mnt-11887', 'mnt-12689']",alto,195-ESTADO-abierta
196,mal funcionamiento,2023-10-30T00:00:00.000000Z,abierta,['909-82-3394'],['mnt-13447'],alto,196-ESTADO-abierta
